item_id,Item,item_price,qtr_on_hand
PI-0001,*Boombox Ipod Classic,16.98,260
PI-0002,*USB Office Mirror Ball,8.47,511
PI-0003,10 COLOUR SPACEBOY PEN,0.85,68
PI-0004,12 COLOURED PARTY BALLOONS,0.65,745
PI-0005,12 DAISY PEGS IN WOOD BOX,1.65,223
PI-0006,12 EGG HOUSE PAINTED WOOD,25.49,172
PI-0007,12 HANGING EGGS HAND PAINTED,2.08,204
PI-0008,12 IVORY ROSE PEG PLACE SETTINGS,2.51,738
PI-0009,12 MESSAGE CARDS WITH ENVELOPES,1.65,457
PI-0010,12 PENCIL SMALL TUBE WOODLAND,0.65,701
PI-0011,12 PENCILS SMALL TUBE RED RETROSPOT,1.28,34
PI-0012,12 PENCILS SMALL TUBE SKULL,0.65,497
PI-0013,12 PENCILS TALL TUBE POSY,0.85,476
PI-0014,12 PENCILS TALL TUBE RED RETROSPOT,0.85,245
PI-0015,12 PENCILS TALL TUBE SKULLS,0.85,642
PI-0016,12 PENCILS TALL TUBE WOODLAND,1.66,741
PI-0017,12 PINK HEN+CHICKS IN BASKET,2.55,271
PI-0018,12 PINK ROSE PEG PLACE SETTINGS,1.25,256
PI-0019,12 RED ROSE PEG PLACE SETTINGS,2.51,406
PI-0020,15 PINK FLUFFY CHICKS IN BOX,2.95,616
PI-0021,15CM CHRISTMAS GLASS BALL 20 LIGHTS,16.98,667
PI-0022,16 PC CUTLERY SET PANTRY DESIGN,15.95,155
PI-0023,16 PIECE CUTLERY SET PANTRY DESIGN,33.29,445
PI-0024,18PC WOODEN CUTLERY SET DISPOSABLE,1.25,529
PI-0025,2 DAISIES HAIR COMB,2.96,789
PI-0026,2 PICTURE BOOK EGGS EASTER BUNNY,1.25,358
PI-0027,2 PICTURE BOOK EGGS EASTER CHICKS,1.25,794
PI-0028,2 PICTURE BOOK EGGS EASTER DUCKS,1.25,88
PI-0029,20 DOLLY PEGS RETROSPOT,1.25,385
PI-0030,200 BENDY SKULL STRAWS,1.25,508
PI-0031,200 RED + WHITE BENDY STRAWS,1.25,632
PI-0032,3 BIRDS CANVAS SCREEN,1.65,769
PI-0033,3 BLACK CATS W HEARTS BLANK CARD,0.19,281
PI-0034,3 DRAWER ANTIQUE WHITE WOOD CABINET,8.95,692
PI-0035,3 GARDENIA MORRIS BOXED CANDLES,4.25,127
PI-0036,3 HEARTS HANGING DECORATION RUSTIC,2.95,125
PI-0037,3 HOOK HANGER MAGIC GARDEN,1.95,710
PI-0038,3 HOOK PHOTO SHELF ANTIQUE WHITE,8.50,797
PI-0039,3 PIECE SPACEBOY COOKIE CUTTER SET,2.10,671
PI-0040,3 PINK HEN+CHICKS IN BASKET,1.25,337
PI-0041,3 RAFFIA RIBBONS 50'S CHRISTMAS,2.08,374
PI-0042,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,4.13,107
PI-0043,3 ROSE MORRIS BOXED CANDLES,4.25,549
PI-0044,3 STRIPEY MICE FELTCRAFT,1.95,62
PI-0045,3 TIER CAKE TIN GREEN AND CREAM,14.95,497
PI-0046,3 TIER CAKE TIN RED AND CREAM,14.95,726
PI-0047,3 TIER SWEETHEART GARDEN SHELF,35.95,606
PI-0048,3 TRADITIONAl BISCUIT CUTTERS  SET,2.10,197
PI-0049,3 TRADITIONAL COOKIE CUTTERS  SET,2.10,723
PI-0050,3 WHITE CHOC MORRIS BOXED CANDLES,4.25,463
PI-0051,3 WICK CHRISTMAS BRIAR CANDLE,8.47,187
PI-0052,36 DOILIES DOLLY GIRL,2.98,416
PI-0053,36 DOILIES VINTAGE CHRISTMAS,1.45,431
PI-0054,36 FOIL HEART CAKE CASES,2.10,503
PI-0055,36 FOIL STAR CAKE CASES,2.10,254
PI-0056,36 PENCILS TUBE POSY,1.25,150
PI-0057,36 PENCILS TUBE RED RETROSPOT,1.25,518
PI-0058,36 PENCILS TUBE SKULLS,1.25,247
PI-0059,36 PENCILS TUBE WOODLAND,1.25,599
PI-0060,3D CHRISTMAS STAMPS STICKERS,1.25,505
PI-0061,3D DOG PICTURE PLAYING CARDS,2.95,611
PI-0062,3D HEARTS  HONEYCOMB PAPER GARLAND,5.91,29
PI-0063,3D SHEET OF CAT STICKERS,1.69,396
PI-0064,3D SHEET OF DOG STICKERS,1.69,62
PI-0065,3D TRADITIONAL CHRISTMAS STICKERS,1.25,508
PI-0066,3D VINTAGE CHRISTMAS STICKERS,1.25,518
PI-0067,4 BLUE DINNER CANDLES SILVER FLOCK,2.55,433
PI-0068,4 BURGUNDY WINE DINNER CANDLES,1.25,796
PI-0069,4 GOLD FLOCK CHRISTMAS BALLS,3.36,211
PI-0070,4 IVORY DINNER CANDLES SILVER FLOCK,2.55,180
PI-0071,4 LAVENDER BOTANICAL DINNER CANDLES,3.75,120
PI-0072,4 LILY  BOTANICAL DINNER CANDLES,3.75,287
PI-0073,4 PEAR BOTANICAL DINNER CANDLES,3.75,152
PI-0074,4 PINK DINNER CANDLE SILVER FLOCK,2.55,46
PI-0075,4 PINK FLOCK CHRISTMAS BALLS,3.36,703
PI-0076,4 PURPLE FLOCK DINNER CANDLES,2.55,117
PI-0077,4 ROSE PINK DINNER CANDLES,1.25,169
PI-0078,4 SKY BLUE DINNER CANDLES,1.25,257
PI-0079,4 TRADITIONAL SPINNING TOPS,1.25,288
PI-0080,4 VANILLA BOTANICAL CANDLES,7.62,52
PI-0081,4 WILDFLOWER BOTANICAL CANDLES,7.62,292
PI-0082,5 HOOK HANGER MAGIC TOADSTOOL,1.65,256
PI-0083,5 HOOK HANGER RED MAGIC TOADSTOOL,1.65,614
PI-0084,5 STRAND GLASS NECKLACE AMBER,6.35,619
PI-0085,5 STRAND GLASS NECKLACE AMETHYST,6.37,713
PI-0086,5 STRAND GLASS NECKLACE BLACK,6.35,655
PI-0087,5 STRAND GLASS NECKLACE CRYSTAL,6.35,692
PI-0088,50CM METAL STRING WITH  7 CLIPS,2.13,590
PI-0089,50'S CHRISTMAS GIFT BAG LARGE,1.25,144
PI-0090,50'S CHRISTMAS PAPER GIFT BAG,0.82,345
